
Mã	
Mua	Bán	
Khối lượng giao dịch ròng	
Giá trị giao dịch ròng	
Room còn lại	
Đang sở hữu	
Khối lượng	
Giá trị	
Khối lượng	
Giá trị	
DSN	800 	33,200,000 	800 	32,840,000 	0 	360,000 	3,491,441 	20.10% 
HTL	0 	0 	0 	0 	0 	0 	532,351 	44.56% 
HSL	0 	0 	0 	0 	0 	0 	15,604,305 	9.10% 
DTL	0 	0 	0 	0 	0 	0 	30,100,724 	0.00% 
HOT	0 	0 	0 	0 	0 	0 	3,918,780 	0.02% 
HRC	0 	0 	0 	0 	0 	0 	14,602,111 	0.66% 
DTA	0 	0 	0 	0 	0 	0 	8,835,351 	0.08% 
LM8	0 	0 	0 	0 	0 	0 	4,434,709 	1.77% 
AGM	0 	0 	0 	0 	0 	0 	7,754,330 	6.39% 
MCG	0 	0 	0 	0 	0 	0 	25,439,746 	4.76% 
AGG	0 	0 	0 	0 	0 	0 	35,978,296 	5.52% 
LEC	0 	0 	0 	0 	0 	0 	12,787,938 	0.00% 
APC	0 	0 	0 	0 	0 	0 	6,736,754 	15.52% 
LGL	0 	0 	0 	0 	0 	0 	24,089,021 	2.23% 
LGC	0 	0 	0 	0 	0 	0 	7,736,135 	44.99% 
MCP	0 	0 	0 	0 	0 	0 	7,355,956 	0.19% 
AAM	0 	0 	0 	0 	0 	0 	5,932,313 	0.95% 
MWG	3,455,500 	554,285,000,000 	3,455,500 	554,285,000,000 	0 	0 	15 	67.42% 
FCM	0 	0 	0 	0 	0 	0 	19,239,585 	2.07% 
NAV	0 	0 	0 	0 	0 	0 	3,848,410 	0.89% 
ADG	0 	0 	0 	0 	0 	0 	4,156,471 	41.91% 
MDG	0 	0 	0 	0 	0 	0 	5,335,625 	 
MIG	0 	0 	0 	0 	0 	0 	61,566,324 	1.64% 
ACC	0 	0 	0 	0 	0 	0 	11,020,773 	36.79% 
BTP	0 	0 	0 	0 	0 	0 	23,784,924 	9.68% 
BRC	0 	0 	0 	0 	0 	0 	6,011,028 	0.43% 
CDC	0 	0 	0 	0 	0 	0 	10,685,808 	0.40% 
CCI	0 	0 	0 	0 	0 	0 	8,262,543 	2.43% 
BTT	0 	0 	0 	0 	0 	0 	6,553,157 	0.44% 
ITD	0 	0 	0 	0 	0 	0 	9,159,845 	1.14% 
ITC	0 	0 	0 	0 	0 	0 	38,701,283 	0.46% 
LBM	0 	0 	0 	0 	0 	0 	3,925,601 	9.74% 
ASP	0 	0 	0 	0 	0 	0 	66 	49.00% 
CEE	0 	0 	0 	0 	0 	0 	20,332,650 	0.01% 
BHN	0 	0 	0 	0 	0 	0 	73,156,930 	17.44% 
KPF	0 	0 	0 	0 	0 	0 	26,648,572 	3.03% 
L10	0 	0 	0 	0 	0 	0 	4,754,613 	0.93% 
GMC	0 	0 	100 	3,245,000 	-100 	-3,245,000 	12,174,436 	8.43% 
ABS	0 	0 	100 	3,050,000 	-100 	-3,050,000 	14,103,410 	0.03% 
TCM	500 	41,830,000 	600 	50,990,000 	-100 	-9,160,000 	2,918,228 	41.75% 
VNG	1,200 	14,400,000 	1,300 	15,275,000 	-100 	-875,000 	47,517,924 	0.15% 
ICT	1,200 	21,870,000 	1,400 	24,675,000 	-200 	-2,805,000 	32,034,240 	0.47% 
TBC	0 	0 	200 	5,590,000 	-200 	-5,590,000 	30,676,016 	0.69% 
GAB	0 	0 	200 	38,640,000 	-200 	-38,640,000 	6,677,480 	0.61% 
GDT	3,200 	169,380,000 	3,500 	187,120,000 	-300 	-17,740,000 	5,953,243 	14.26% 
NCT	0 	0 	300 	20,910,000 	-300 	-20,910,000 	10,399,552 	9.26% 
TPB	0 	0 	300 	9,960,000 	-300 	-9,960,000 	139,800 	29.99% 
CRC	1,500 	14,696,000 	1,800 	17,057,000 	-300 	-2,361,000 	7,255,930 	0.63% 
KSB	700 	19,720,000 	1,000 	27,250,000 	-300 	-7,530,000 	31,214,214 	2.39% 
DQC	0 	0 	400 	7,835,000 	-400 	-7,835,000 	16,469,392 	1.07% 
S4A	100 	2,690,000 	500 	13,480,000 	-400 	-10,790,000 	20,650,820 	0.06% 
HII	0 	0 	500 	9,850,000 	-500 	-9,850,000 	15,372,538 	1.00% 
LCG	0 	0 	500 	5,600,000 	-500 	-5,600,000 	53,909,532 	3.64% 
VPS	2,000 	31,400,000 	2,700 	42,390,000 	-700 	-10,990,000 	11,809,710 	0.72% 
RDP	0 	0 	800 	6,710,000 	-800 	-6,710,000 	23,114,741 	0.48% 
DRC	23,100 	639,695,000 	24,000 	658,905,000 	-900 	-19,210,000 	48,322,892 	8.32% 
UDC	200 	1,164,000 	1,200 	7,114,000 	-1,000 	-5,950,000 	15,643,640 	4.30% 
SC5	100 	2,350,000 	1,300 	28,600,000 	-1,200 	-26,250,000 	6,695,877 	4.31% 
TTB	6,500 	43,347,000 	8,000 	51,299,000 	-1,500 	-7,952,000 	24,551,583 	1.34% 
KHP	0 	0 	1,700 	11,475,000 	-1,700 	-11,475,000 	23,467,798 	8.24% 
DHM	0 	0 	1,800 	18,540,000 	-1,800 	-18,540,000 	14,881,929 	1.60% 
CTF	0 	0 	2,000 	39,390,000 	-2,000 	-39,390,000 	33,446,832 	0.03% 
C32	0 	0 	2,200 	55,880,000 	-2,200 	-55,880,000 	5,195,142 	14.44% 
HTN	5,700 	202,655,000 	8,000 	294,410,000 	-2,300 	-91,755,000 	24,079,866 	0.36% 
