MaCK,SanCK,EPS,PE,ROA,ROE,Beta,KhoiLuongLuuHanh,KhoiLuongNiemYet,CoPhieuQuy,NuocNgoaiSoHuu,VonThiTruong,DoanhThu-ttm(Trieu),LNST-ttm,VonCSH,TongNo,TongTaiSan,,,,
BT1,HASTC,2.11,7.7,582%,1062%,0.64,5250000,5250000,0,0,85574996,0,0,104127,86009,190136,,,,
BT6,HASTC,-2.49,-0.8,-921%,36137%,1.00,32993550,32993550,0,16166840,69286452,53562,0,17187,892025,909212,,,,
BTB,HASTC,0.10,65.0,30%,71%,1.01,7691226,7691226,0,0,49992969,139093,-1126,109780,193228,303009,,,,
BTCUSD-X,HASTC,0.00,0.0,0%,0%,0.00,0,0,0,0,0,0,0,,,,,,,
BTD,HASTC,6.16,5.5,510%,1453%,0.73,6414100,6414100,0,0,216796575,913018,39107,272130,503669,775800,,,,
BTG,HASTC,0.12,48.3,70%,72%,-0.22,1190000,1190000,0,583100,6902000,48674,-344,19378,627,20006,,,,
BTH,HASTC,0.30,40.3,517%,529%,0.95,46500000,46500000,0,1806,562650018,2666,0,260546,5940,266486,,,,
BTN,HASTC,-1.20,-3.0,-669%,-1175%,1.72,4465570,4465570,0,0,16076052,0,0,45676,34545,80222,,,,
BTP,HOSE,1.58,10.3,495%,737%,0.60,58085600,59285600,1200000,29637944,966355235,559177,0,1241488,606458,1847946,,,,
BTR,HASTC,2.18,4.5,385%,1715%,0.36,1850000,1850000,0,906500,18130000,25996,0,23557,81514,105071,,,,
BTS,HASTC,0.14,42.1,53%,126%,1.71,123559858,123559858,0,53437534,729003174,3057590,0,1409024,1968473,3377497,,,,
BTT,HOSE,0.75,70.7,206%,276%,0.52,13500000,13500000,0,5194000,715500000,134927,10089,366031,124587,490618,,,,
BTU,HASTC,2.25,5.6,1072%,1535%,0.80,3600000,3600000,0,1764000,45000000,38465,2002,52704,22769,75473,,,,
BTV,HASTC,-1.46,-18.0,-1151%,-1887%,0.57,25000000,25000000,0,0,657499981,356144,0,193130,123413,316543,,,,
BTW,HASTC,2.93,11.1,937%,1231%,0.61,9360000,9360000,0,2739600,303264014,433287,0,222650,70044,292694,,,,
BUD,HASTC,1.97,7.9,626%,1486%,2.16,10000000,10000000,0,0,155000000,0,0,132373,181712,314086,,,,
BVB,HASTC,0.77,23.2,40%,607%,2.39,317100000,317100000,0,0,5676089879,4291622,244105,4024644,57068762,61093406,,,,
BVG,HASTC,-0.61,-5.7,-360%,-838%,2.95,9750948,9750948,0,4768964,34128318,189164,-13505,70913,94194,165107,,,,
BVH,HOSE,2.55,19.8,129%,891%,1.43,742322764,742322764,0,333431002,37413068438,38791500,1954893,21267189,125336259,146603447,,,,
BVL,HASTC,,0.0,0%,0%,0.00,22000000,22000000,0,0,525799992,109207,944,268797,117284,386081,,,,
BVN,HASTC,-0.80,-10.4,-300%,-789%,0.93,5000000,5000000,0,2396800,41500001,0,0,50407,82151,132557,,,,
BVS,HASTC,3.03,8.7,608%,1127%,2.16,72213737,72223837,10100,35394629,1913931680,697804,219039,1942804,1658227,3601031,,,,
BWA,HASTC,0.88,11.9,606%,672%,1.42,2700000,2700000,0,1319400,28350000,0,0,35404,3849,39253,,,,
BWE,HOSE,3.86,9.8,676%,1661%,1.05,150000000,150000000,0,0,5685000229,2967697,579591,3488397,5079275,8567672,,,,
BWS,HASTC,2575.00,0.0,22%,24%,0.52,90000000,90000000,0,0,3105000000,672161,0,968030,74823,1042853,,,,
BXH,HASTC,0.73,16.4,268%,618%,0.35,4919665,4919665,0,1475899,59035980,212711,0,58120,75674,133794,,,,
BXT,HASTC,,0.0,0%,0%,0.00,63400,63400,0,0,672040,0,0,,,,,,,
C12,HASTC,0.71,5.6,38%,434%,0.56,4850000,4850000,0,0,19400000,455356,2926,79069,816632,895701,,,,
C21,HASTC,0.38,35.5,85%,106%,1.31,18619917,19619917,1000000,9474822,264868880,151564,7051,663249,169750,832999,,,,
C22,HASTC,2.62,5.0,496%,1289%,0.57,3550000,3550000,0,0,46150000,0,0,72126,115255,187382,,,,
C32,HOSE,4.55,5.0,738%,1225%,1.06,15030145,15030145,0,5488000,338929758,556663,68352,557797,368987,926784,,,,
C36,HASTC,0.89,9.9,79%,605%,0.27,1123500,1123500,0,0,9886800,0,0,16570,110461,127032,,,,
C47,HOSE,1.36,7.7,170%,825%,1.34,18722143,18722143,0,5880000,196582502,1327159,25507,309333,1186882,1496215,,,,
C4G,HASTC,0.63,13.7,85%,534%,1.72,100000000,100000000,0,0,860000038,2280833,62975,1179687,6236519,7416206,,,,
C69,HASTC,1.10,8.6,324%,460%,1.91,15000000,15000000,0,0,142500000,319104,0,358969,150745,509714,,,,
C71,HASTC,0.23,26.1,19%,203%,1.64,5000000,5000000,0,2450000,30000000,772443,2547,57222,552115,609337,,,,
C92,HASTC,0.33,12.7,50%,286%,1.65,5312920,5312920,0,2603330,22314263,185377,0,60793,285338,346132,,,,
CAB,HASTC,1.39,101.4,337%,1054%,0.00,45745876,45745876,0,0,6445593649,2278133,63660,603877,1283254,1887131,,,,
CAD,HASTC,-0.38,-3.7,-38%,315%,1.86,8799927,8799927,0,3628788,12319898,17191,0,-114858,1038350,923492,,,,
CAD-X,HASTC,0.00,0.0,0%,0%,0.00,0,0,0,0,0,0,0,,,,,,,
CAG,HASTC,0.27,61.1,241%,249%,1.23,13800000,13800000,0,0,227700000,52378,0,147469,4547,152017,,,,
CAM,HASTC,2.76,5.7,525%,2686%,0.00,1310700,1310700,0,0,20577990,44907,806,13490,55561,69051,,,,
CAN,HASTC,2.88,13.2,404%,1128%,1.19,5000000,5000000,0,2450000,190000000,723189,0,127764,229228,356992,,,,
CAP,HASTC,9.08,7.0,2172%,5158%,0.71,5236023,5236023,0,2332443,335105472,449552,0,92125,126604,218730,,,,
CAT,HASTC,4.83,4.7,1446%,3459%,1.61,9748579,9748579,0,0,219343028,1247073,1424,135992,189320,325312,,,,
CAV,HASTC,12.76,4.3,534%,2238%,0.82,28800000,28800000,0,14112000,1584000000,12347778,0,1642199,5243792,6885991,,,,
CBC,HASTC,0.08,121.3,41%,77%,0.00,11882400,11882400,0,0,115259278,5963,0,117294,103897,221191,,,,
CBI,HASTC,2.98,7.6,666%,8104%,1.43,43006366,43006366,0,0,967643235,2237697,0,158154,1765052,1923206,,,,
CBS,HASTC,-8.15,-1.3,-1512%,-5310%,-0.03,3527925,3527925,0,0,37043212,0,0,82910,81897,164808,,,,
CC1,HASTC,0.93,23.1,111%,551%,1.78,110000000,110000000,0,0,2365000000,6910226,101821,1846482,7321908,9168390,,,,
CC4,HASTC,0.23,52.2,39%,101%,2.42,16000000,16000000,0,0,192000000,165897,0,370172,536204,906375,,,,
CCA,HASTC,0.38,26.3,75%,264%,1.10,15092326,15092326,0,0,150923260,726095,0,216841,543745,760586,,,,
CCH,HASTC,0.12,32.5,28%,96%,0.00,1000000,1000000,0,0,3900000,0,0,11975,29506,41481,,,,
CCI,HOSE,1.77,10.8,455%,1199%,1.32,17338345,17541105,202760,8694493,334158037,284822,0,256604,419517,676121,,,,
CCL,HOSE,1.53,7.7,600%,1236%,1.69,47499885,47499885,0,17394943,562873655,959935,72530,586680,622264,1208944,,,,
CCM,HASTC,12.05,3.3,1303%,2075%,2.49,6199900,6199900,0,2254000,248615981,1009997,0,360118,213679,573797,,,,
