<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
000001.SS,20171205,3301.6899,3315.7400,3300.5100,3303.6799,208300,3301.6899,3315.7400,3300.5100,3303.6799,0,0,0
000001.SS,20171204,3310.3799,3324.0000,3304.1001,3309.6201,148100,3310.3799,3324.0000,3304.1001,3309.6201,0,0,0
000001.SS,20171201,3315.1001,3324.5200,3302.4399,3317.6201,139200,3315.1001,3324.5200,3302.4399,3317.6201,0,0,0
000001.SS,20171130,3328.6399,3340.9199,3306.2800,3317.1899,156600,3328.6399,3340.9199,3306.2800,3317.1899,0,0,0
000001.SS,20171129,3335.5701,3343.0601,3305.5701,3337.8601,183800,3335.5701,3343.0601,3305.5701,3337.8601,0,0,0
000001.SS,20171128,3311.2300,3333.8000,3300.7800,3333.6599,138200,3311.2300,3333.8000,3300.7800,3333.6599,0,0,0
000001.SS,20171127,3346.6599,3347.0500,3315.2600,3322.2300,166400,3346.6599,3347.0500,3315.2600,3322.2300,0,0,0
000001.SS,20171124,3340.3799,3360.7500,3328.3301,3353.8201,159600,3340.3799,3360.7500,3328.3301,3353.8201,0,0,0
000001.SS,20171123,3425.0100,3429.4199,3342.3301,3352.9900,208800,3425.0100,3429.4199,3342.3301,3352.9900,0,0,0
000001.SS,20171122,3417.3301,3442.1799,3404.2900,3430.4600,213600,3417.3301,3442.1799,3404.2900,3430.4600,0,0,0
000001.SS,20171121,3382.3601,3419.8000,3377.6001,3410.5000,196900,3382.3601,3419.8000,3377.6001,3410.5000,0,0,0
000001.SS,20171120,3361.3601,3393.1101,3337.1201,3392.3999,176500,3361.3601,3393.1101,3337.1201,3392.3999,0,0,0
000001.SS,20171117,3392.6799,3403.2900,3373.3000,3382.9099,249500,3392.6799,3403.2900,3373.3000,3382.9099,0,0,0
000001.SS,20171116,3393.1899,3409.6499,3390.5901,3399.2500,156700,3393.1899,3409.6499,3390.5901,3399.2500,0,0,0
000001.SS,20171115,3416.2100,3423.7500,3396.3799,3402.5200,168800,3416.2100,3423.7500,3396.3799,3402.5200,0,0,0
000001.SS,20171114,3446.5400,3450.5000,3419.6899,3429.5500,196500,3446.5400,3450.5000,3419.6899,3429.5500,0,0,0
000001.SS,20171113,3435.1799,3449.1599,3435.0801,3447.8401,205400,3435.1799,3449.1599,3435.0801,3447.8401,0,0,0
000001.SS,20171110,3423.1899,3438.7900,3414.3301,3432.6699,189300,3423.1899,3438.7900,3414.3301,3432.6699,0,0,0
000001.SS,20171109,3410.6699,3428.7700,3408.6201,3427.7900,158700,3410.6699,3428.7700,3408.6201,3427.7900,0,0,0
000001.SS,20171108,3409.1499,3434.4900,3404.8799,3415.4600,185400,3409.1499,3434.4900,3404.8799,3415.4600,0,0,0
000001.SS,20171107,3389.4700,3415.1499,3387.9500,3413.5701,190600,3389.4700,3415.1499,3387.9500,3413.5701,0,0,0
000001.SS,20171106,3369.6899,3389.3799,3356.5300,3388.1699,154600,3369.6899,3389.3799,3356.5300,3388.1699,0,0,0
000001.SS,20171103,3377.7400,3380.5701,3347.3601,3371.7400,172700,3377.7400,3380.5701,3347.3601,3371.7400,0,0,0
000001.SS,20171102,3391.6499,3391.6499,3372.2100,3383.3101,166900,3391.6499,3391.6499,3372.2100,3383.3101,0,0,0
000001.SS,20171101,3393.9700,3410.3501,3388.6001,3395.9099,180600,3393.9700,3410.3501,3388.6001,3395.9099,0,0,0
000001.SS,20171031,3381.0000,3397.1001,3376.1201,3393.3401,153500,3381.0000,3397.1001,3376.1201,3393.3401,0,0,0
000001.SS,20171030,3413.8701,3419.7300,3357.2800,3390.3401,208300,3413.8701,3419.7300,3357.2800,3390.3401,0,0,0
000001.SS,20171027,3404.5000,3421.1001,3402.1101,3416.8101,170300,3404.5000,3421.1001,3402.1101,3416.8101,0,0,0
000001.SS,20171026,3397.5200,3414.2400,3391.4600,3407.5701,183800,3397.5200,3414.2400,3391.4600,3407.5701,0,0,0
000001.SS,20171025,3384.8601,3398.3000,3382.0300,3396.8999,123100,3384.8601,3398.3000,3382.0300,3396.8999,0,0,0
000001.SS,20171024,3376.6001,3388.6899,3374.1201,3388.2500,139900,3376.6001,3388.6899,3374.1201,3388.2500,0,0,0
000001.SS,20171023,3382.2800,3385.2800,3374.7100,3380.7000,130800,3382.2800,3385.2800,3374.7100,3380.7000,0,0,0
000001.SS,20171020,3363.5100,3379.7600,3360.1001,3378.6499,127200,3363.5100,3379.7600,3360.1001,3378.6499,0,0,0
000001.SS,20171019,3374.6399,3378.7400,3359.6299,3370.1699,158500,3374.6399,3378.7400,3359.6299,3370.1699,0,0,0
000001.SS,20171018,3373.5300,3383.2300,3371.9299,3381.7900,157200,3373.5300,3383.2300,3371.9299,3381.7900,0,0,0
000001.SS,20171017,3373.2300,3382.4099,3365.5601,3372.0400,125400,3373.2300,3382.4099,3365.5601,3372.0400,0,0,0
000001.SS,20171016,3393.2100,3400.5100,3374.7700,3378.4700,174300,3393.2100,3400.5100,3374.7700,3378.4700,0,0,0
000001.SS,20171013,3384.4900,3395.7500,3383.2400,3390.5200,140000,3384.4900,3395.7500,3383.2400,3390.5200,0,0,0
000001.SS,20171012,3385.5300,3390.2000,3372.5300,3386.1001,161800,3385.5300,3390.2000,3372.5300,3386.1001,0,0,0
000001.SS,20171011,3381.4900,3395.7800,3379.1599,3388.2800,181500,3381.4900,3395.7800,3379.1599,3388.2800,0,0,0
000001.SS,20171010,3373.3401,3384.0300,3358.7900,3382.9900,179400,3373.3401,3384.0300,3358.7900,3382.9900,0,0,0
000001.SS,20171009,3403.2500,3410.1699,3366.9700,3374.3799,191700,3403.2500,3410.1699,3366.9700,3374.3799,0,0,0
000001.SS,20170929,3340.3101,3357.0100,3340.3101,3348.9399,144900,3340.3101,3357.0100,3340.3101,3348.9399,0,0,0
000001.SS,20170928,3343.8401,3344.6001,3336.1799,3339.6399,149400,3343.8401,3344.6001,3336.1799,3339.6399,0,0,0
000001.SS,20170927,3340.8201,3349.7000,3340.3000,3345.2700,143100,3340.8201,3349.7000,3340.3000,3345.2700,0,0,0
000001.SS,20170926,3336.3501,3347.1599,3332.6001,3343.5801,132600,3336.3501,3347.1599,3332.6001,3343.5801,0,0,0
000001.SS,20170925,3344.5901,3350.9600,3334.9399,3341.5500,169600,3344.5901,3350.9600,3334.9399,3341.5500,0,0,0
000001.SS,20170922,3347.1599,3356.4500,3334.9900,3352.5300,179200,3347.1599,3356.4500,3334.9900,3352.5300,0,0,0
000001.SS,20170921,3364.7000,3377.8799,3356.8799,3357.8101,197400,3364.7000,3377.8799,3356.8799,3357.8101,0,0,0
000001.SS,20170920,3352.1899,3370.1001,3346.5400,3366.0000,192200,3352.1899,3370.1001,3346.5400,3366.0000,0,0,0
000001.SS,20170919,3365.5300,3370.3999,3344.7100,3356.8401,191100,3365.5300,3370.3999,3344.7100,3356.8401,0,0,0
000001.SS,20170918,3352.5100,3371.7500,3352.5100,3362.8601,190300,3352.5100,3371.7500,3352.5100,3362.8601,0,0,0
000001.SS,20170915,3365.1499,3365.5300,3345.3301,3353.6201,219800,3365.1499,3365.5300,3345.3301,3353.6201,0,0,0
